Prognosemodell-Auswertung
==================================================
Prognoseprüfungen gesamt: 6.334
Richtig (+/-30 % oder +/-5 min): 5.263
Trefferquote: 83,09 %
Prognose-Abbrüche: 55
Aufnahmeprognose-Abweisungen: 97
Mittlere geschaetzte Restzeit: 43,54 min
Mittlere tatsaechliche Restzeit: 49,48 min
Mittlere absolute Abweichung: 12,42 min
Mittlere prognostizierte Bearbeitungs-Restzeit: 8,20 min
Mittlere gesampelte Bearbeitungs-Restzeit: 8,20 min
Mittlere absolute Bearbeitungs-Abweichung: 0,00 min

Trefferquote je Phase
--------------------------------------------------
Ankunft: 945/1281 (73,77 %) | Prognose 75,51 min | Ist 79,36 min | abs. Abw. 23,98 min
  Bearbeitung: Prognose 12,12 min | Sample 12,12 min | abs. Abw. 0,00 min
NachArzt: 1219/1219 (100,00 %) | Prognose 17,45 min | Ist 17,47 min | abs. Abw. 0,02 min
  Bearbeitung: Prognose 1,16 min | Sample 1,16 min | abs. Abw. 0,00 min
NachRezeption: 993/1230 (80,73 %) | Prognose 43,75 min | Ist 52,48 min | abs. Abw. 13,25 min
  Bearbeitung: Prognose 10,08 min | Sample 10,08 min | abs. Abw. 0,00 min
NachSchwester: 569/688 (82,70 %) | Prognose 42,99 min | Ist 50,99 min | abs. Abw. 12,17 min
  Bearbeitung: Prognose 7,64 min | Sample 7,64 min | abs. Abw. 0,00 min
VorArzt: 989/1228 (80,54 %) | Prognose 35,24 min | Ist 42,76 min | abs. Abw. 11,07 min
  Bearbeitung: Prognose 7,60 min | Sample 7,60 min | abs. Abw. 0,00 min
VorSchwester: 548/688 (79,65 %) | Prognose 45,21 min | Ist 55,63 min | abs. Abw. 14,00 min
  Bearbeitung: Prognose 12,06 min | Sample 12,06 min | abs. Abw. 0,00 min


Details
PatientId;Phase;ZeitpunktMin;PrognoseRestMin;IstRestMin;AbweichungMin;AbweichungProzent;PrognoseBearbeitungsRestMin;GesampelteBearbeitungsRestMin;AbweichungBearbeitungMin;AbweichungBearbeitungProzent;Korrekt;PrognoseFertigBisSchichtende
26;Ankunft;79.13;22.50;29.43;-6.93;-23.55;13.07;13.07;0.00;0.00;1;1
26;NachRezeption;79.96;22.06;28.60;-6.54;-22.86;12.64;12.64;0.00;0.00;1;1
26;VorSchwester;79.96;22.06;28.60;-6.54;-22.86;12.64;12.64;0.00;0.00;1;1
26;NachSchwester;86.56;25.54;22.00;3.54;16.11;6.21;6.21;0.00;0.00;1;1
26;VorArzt;87.28;24.83;21.28;3.54;16.65;6.21;6.21;0.00;0.00;1;1
26;NachArzt;100.23;8.33;8.33;0.00;0.00;0.58;0.58;0.00;0.00;1;1
10;Ankunft;30.53;72.44;79.79;-7.35;-9.21;14.43;14.43;0.00;0.00;1;1
10;NachRezeption;35.48;68.19;74.84;-6.65;-8.89;14.13;14.13;-0.00;-0.00;1;1
10;VorSchwester;35.80;67.86;74.51;-6.65;-8.93;14.13;14.13;-0.00;-0.00;1;1
10;NachSchwester;41.13;62.53;69.18;-6.65;-9.61;9.67;9.67;0.00;0.00;1;1
10;VorArzt;93.58;10.94;16.73;-5.79;-34.62;9.67;9.67;0.00;0.00;0;1
10;NachArzt;110.07;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
25;Ankunft;78.11;26.33;33.68;-7.35;-21.82;13.32;13.32;0.00;0.00;1;1
25;NachRezeption;79.53;22.33;32.25;-9.92;-30.75;12.29;12.29;0.00;0.00;0;1
25;VorSchwester;79.53;22.33;32.25;-9.92;-30.75;12.29;12.29;0.00;0.00;0;1
25;NachSchwester;85.91;19.99;25.87;-5.88;-22.74;6.08;6.08;0.00;0.00;1;1
25;VorArzt;95.37;10.70;16.41;-5.72;-34.83;6.08;6.08;0.00;0.00;0;1
25;NachArzt;111.53;0.25;0.25;0.00;0.00;0.00;0.00;0.00;;1;1
32;Ankunft;106.19;13.56;12.54;1.02;8.15;3.69;3.69;0.00;0.00;1;1
32;NachRezeption;112.88;5.85;5.85;0.00;0.00;3.17;3.17;0.00;0.00;1;1
